id;legal_name;trade_name;cnpj;state_registration;email;phone;active;deleted_at
1;monocromático;fraco oval;down greedilyX;vastly hospital pro;"/K>|iG@H;nZR.l2I";+55 (63) 2481-3576;false;2026-05-15T14:34:04
2;bah;yahoo why;unless an escuro;furiously yuck;"Md@2;|b`.9`j*";(93) 3010-6980;true;2026-05-15T08:19:33
3;underneath;sans ick;inasmuchXXXXXX;yippee;"veseE@Cy{D([.r";(89) 3692-9452;true;2026-05-15T17:37:32
4;hmph although;past negociar;pobre abnormally;alvorecer sofá mochila;"fGH@+i_>&.d";(17) 5596-0651;false;2026-05-15T13:52:53
5;blah mau eek;consequently;sangue er beside;brr when aw;"?\{O@A.%*";(45) 86317-2656;false;2026-05-15T11:57:36
6;blah aço;daintily actually;whoseXXXXXXXXX;papelão nervoso;")ZO@Xj.}c4";(42) 71627-1237;false;2026-05-15T06:04:36
7;kissingly ugh gato;whereas anti áspero;crossly henceX;until apagar an;"'%@?>i9.+";(67) 6793-9111;true;2026-05-15T07:36:53
8;inside;sopa;liso butXXXXXX;teto boo retangular;"B(@:,yy!.{W+/";(53) 2683-5842;false;2026-05-15T00:47:58
9;exactly loosely;pfft;fritar pfftXXX;difícil phooey mentiroso;"jKv$@L[hpO.s1Z_JL";(92) 46633-0881;false;2026-05-15T00:29:31
10;rir;indeed never;psst furthermore;borracha;";@w%.6}q^";+55 (34) 4225-7119;false;2026-05-15T03:38:37
11;pato meh;confiar quizzically though;quietoXXXXXXXX;absentmindedly espelho;"1@6.ZqP1$";(31) 3255-0338;false;2026-05-15T04:01:35
12;upside-down gee satisfeito;pessimista phew;universidade enorm;mal-educado per merrily;"\Kc@.t.t%![";+55 (02) 5347-6014;true;2026-05-15T15:40:24
13;why frio;vice receitar punir;fracoXXXXXXXXX;mão padaria ah;"e@R/[5.R>p]";+55 (06) 3825-0621;false;2026-05-15T11:45:37
14;pele;educado geez psst;of massaXXXXXX;gato;"{NXrxS@s7.I5SEe";+55 (25) 3867-6823;false;2026-05-15T14:15:46
15;boohoo;excluir educado;geeXXXXXXXXXXX;cortar afore absentmindedly;"SEB@kcg4.l;>";+55 (84) 5518-2326;true;2026-05-15T15:12:55
16;vice fatally jubilantly;raiz;logarXXXXXXXXX;claro cheerfully in;"[d<!@w[$.~~I";+55 (36) 2702-1635;false;2026-05-15T03:48:46
17;of yet;considering;mercado astride ca;dinheiro;"e;sX#@KVFd.w";(57) 5267-8945;true;2026-05-15T18:25:12
18;alto gadzooks cimento;nor around;noisily mmm urgent;manifestar encostar;"vPk;@XNL.DR~E#";(14) 59399-8911;true;2026-05-15T14:24:12
19;encontro mão azeite;doubtfully;alugar moeda nicel;garrafa;"%lc@~Lrm.*g";(84) 67196-3581;true;2026-05-15T05:22:05
20;escanear contente chocolate;bah artista fooey;ouch huzzahXXX;vaca whether estômago;"_@>BZ$Hw.P;lRo";(48) 35938-9825;false;2026-05-15T00:27:08
21;only save whose;toward;rigidly at ohX;whoever by nivelar;"1:5JZ@v6Y`.8U";+55 (50) 8042-2752;false;2026-05-15T17:31:59
22;recusar opaco;áspero phooey;boastfullyXXXX;preocupar apostar tomada;"X@Jx.!^$";(70) 2565-2543;false;2026-05-15T07:00:55
23;usually reunião;likely plantar;destrutivoXXXX;upwardly even pesado;"b0<8@N.klaK";+55 (27) 9656-4649;false;2026-05-15T21:09:54
24;aside mão easily;brilhar;data colorfully na;divino inwardly;"Bob@i4.yzT8";(66) 84024-9843;false;2026-05-15T08:57:50
25;fondly reproachfully hmph;which sólido representar;of mechanically;pensar;"ve\@XgTf+.vt";(98) 95061-4209;true;2026-05-15T15:24:50
26;wearily;when huzzah;monocromático derr;boohoo;"Q@0z%?.w";(43) 27110-1237;true;2026-05-15T04:42:19
27;pular;beneath notwithstanding;destrutivo foolish;over until till;"{W{##u@G~NL.YM>rC";(98) 3389-5548;true;2026-05-15T12:56:43
28;positively gadzooks vastly;phooey;as disposto sólido;prometer when yippee;"u|l@!9q=CY.7uI=Ed";+55 (02) 4691-3567;false;2026-05-15T14:43:09
29;científico bah honesto;aha;pontudoXXXXXXX;than;"zZ@\.y";(64) 8459-5055;false;2026-05-15T01:31:01
30;boohoo categorizar;nor comentar for;incidentallyXX;lest yuck;"[@P&.[wk";(86) 5244-0904;true;2026-05-15T06:03:27
