id;name;iso_code
1;pé woot;bar
2;festa;col
3;confiante;boo
4;alegrar worth once;gee
5;who lively peixe;pob
6;merrily entardecer;tha
7;pontudo resfriar gah;huz
8;phooey duh;sep
9;astride despite boo;ind
10;paciente;con
11;feriado amar;whe
12;below;des
13;voto;les
14;yahoo desaparecer;whe
15;suar plus;lei
16;daintily brotar;duh
17;oceano courageously egoísta;zow
18;aberto;cre
19;barato mal-educado atacar;bes
20;bah concerning confiante;gor
21;doce destrutivo administrar;com
22;sólido;nor
23;sonhar;dow
24;huzzah seriously;lou
25;neatly extrovertido whenever;gos
26;crescer like;sof
27;blindly whereas;nev
28;porco;oco
29;boohoo afiado;lav
30;triste yahoo;ind
