id;name;sku;unit_of_measure;unit_decimal_places;sale_price;cost_price;min_stock;active;deleted_at
1;opaco;aço energético;LITER;3;1891.82;1699.12;32722.9;true;2026-05-15T16:20:28
2;canoa arrogantly teatro;until;METER;1;25914.14;20247.63;18354.64;true;2026-05-15T08:36:57
3;ew zowie vivaciously;pro beyond águia;LITER;0;21314.54;3768.84;31180.28;false;2026-05-15T12:42:13
4;insatisfeito which;forte;METER;1;2424.82;17065.03;7464.93;false;2026-05-15T02:55:45
5;chato a righteously;but confiar evento;BOX;2;6269;27613.92;7836.36;false;2026-05-15T14:09:56
6;ah;enormously ew;METER;2;24148;26214.77;7156.78;true;2026-05-15T21:56:19
7;agenda lento gosh;cantor;METER;4;27425.37;13106.61;29284.3;false;2026-05-15T05:20:22
8;notwithstanding comentar ano;segundo qua;BOX;6;30945.9;13297.67;2268.99;true;2026-05-15T10:55:53
9;chave preocupar whereas;resfriar;BOX;6;32397.07;24858.75;24079.24;false;2026-05-15T08:06:58
10;confirmar;frágil why casa;LITER;5;6111.01;2790.01;8082.18;true;2026-05-15T06:48:07
11;vestir provided;oh quieto but;KG;1;23462.04;27542.64;32314.55;true;2026-05-15T13:45:37
12;postar;oco;METER;0;18818.32;20446.55;13197.34;true;2026-05-15T20:12:13
13;victoriously unbearably;lest;BOX;1;31557.82;27163.3;9350.44;true;2026-05-15T07:13:45
14;teatro;vaguely before;BOX;6;25640.09;26866.01;11437.11;true;2026-05-15T06:59:44
15;escrever hm grama;nariz;BOX;3;18520.58;16666.71;22378.41;false;2026-05-15T13:48:59
16;cavar what helicóptero;velho;UNIT;3;25146.17;17208.91;566.19;false;2026-05-15T00:13:41
17;huzzah;unexpectedly;BOX;1;16871.15;5574;32346.49;true;2026-05-15T16:40:25
18;moto versus;provided yowza yahoo;KG;2;2718.45;4698.24;15164.95;false;2026-05-15T16:22:01
19;unless across since;largo;BOX;5;22631.34;24868.13;19073.25;true;2026-05-15T01:37:30
20;fooey ouch meh;elefante zowie leve;LITER;3;26046.51;6788.85;29581.88;false;2026-05-15T13:37:41
21;entristecer afore from;truthfully carro;BOX;5;6473.98;11077.34;16910.79;false;2026-05-15T14:55:19
22;until upright although;thankfully;KG;6;22958.85;30643.58;19333.65;true;2026-05-15T05:46:37
23;rir well;feliz;KG;0;26832.22;3322.89;19094.31;false;2026-05-15T18:51:15
24;woot manifestar;débito yearly consequently;LITER;6;24459.76;9400.7;26576.4;false;2026-05-15T09:00:09
25;chocolate;relaxado;METER;0;2377.98;21690.68;23555.97;true;2026-05-15T01:12:09
26;lançar;vigiar;LITER;0;6982.64;17132.23;12225.9;false;2026-05-15T00:11:14
27;angrily alto meh;carregar;BOX;6;29717.3;29808.81;16213.07;true;2026-05-15T08:28:41
28;incidentally verdadeiro likewise;failing meditar;UNIT;2;17248.76;26486.88;7827.95;false;2026-05-14T22:53:41
29;bah;kindly;KG;3;27664.14;15185.15;7451.69;true;2026-05-15T11:39:07
30;emprestar débito língua;afterwards biblioteca what;BOX;2;23930.6;14332.46;28612.39;true;2026-05-15T01:03:29
