id;name;sku;unit_of_measure;unit_decimal_places;unit_cost;min_stock;active;deleted_at
1;underneath;salgado;METER;3;15185.15;11218.59;false;2026-05-15T06:43:25
2;wrongly meh;escritório;METER;3;14892.48;7609.74;false;2026-05-15T09:45:35
3;consultar;before familiar fatally;LITER;6;13193.89;4424.81;false;2026-05-15T00:00:47
4;enthusiastically;whether amongst;LITER;4;18014.39;18951.65;true;2026-05-15T10:01:04
5;ah esquentar;miserably mudar;BOX;1;671.47;3694.12;false;2026-05-15T16:37:33
6;beijar not;fraco circa;METER;4;16137.64;27584.18;true;2026-05-15T02:02:09
7;parar once where;woot cheirar than;LITER;6;26048.69;11093.23;false;2026-05-15T07:54:51
8;resumir decidido wearily;vainly ack;UNIT;2;32576.08;30421.4;false;2026-05-15T02:05:34
9;mau;hora aprender barato;UNIT;4;1369.61;32675.91;true;2026-05-15T01:37:45
10;podcast whereas;largo apropos;KG;3;3818.01;21543.92;false;2026-05-15T02:42:34
11;perfil classificar;lâmpada chuva alegrar;METER;0;25372.48;7521.76;false;2026-05-15T10:13:36
12;inteligente apud instalar;which upon;BOX;6;28960.83;12743.31;true;2026-05-15T00:29:25
13;calor ouvir baixo;wildly;METER;4;1758.01;24443.17;false;2026-05-15T06:12:53
14;about criativo;versus frio atmosfera;BOX;2;19666.55;957.99;false;2026-05-14T22:41:30
15;mal-educado apagar massa;regularly;BOX;2;13708.89;32702.66;true;2026-05-15T20:03:59
16;hence gee;before;BOX;6;3262.19;27139.97;false;2026-05-15T13:17:35
17;but;surpreender mmm;UNIT;0;8821.07;14412.77;false;2026-05-15T13:46:45
18;uber cheirar humano;frágil;LITER;0;24470.62;3583.42;false;2026-05-15T12:21:43
19;irresponsável;yuck;BOX;4;28373.54;29927.51;true;2026-05-15T06:02:27
20;when why chá;lest caneta;KG;0;3877.82;16120.54;false;2026-05-15T18:54:30
21;gostar;ensinar;BOX;0;20043.07;30737.37;true;2026-05-15T17:48:57
22;familiar consciente hm;derrubar near triste;KG;1;20706.07;2355.48;false;2026-05-15T18:16:17
23;emocionar;bashfully obediently quirkily;BOX;2;24178.23;24550.87;false;2026-05-15T01:44:07
24;while openly;inasmuch;KG;0;25519.27;28947.26;false;2026-05-15T02:09:27
25;warmly under before;phooey;UNIT;2;14251.12;15399.74;true;2026-05-15T07:55:59
26;curiously medir;esconder assistir mesa;BOX;3;16799.93;19198.08;true;2026-05-15T00:38:42
27;trator;servir;METER;5;22889.94;1353.99;true;2026-05-14T23:29:30
28;ah gadzooks;and;UNIT;4;30464.56;12383.45;false;2026-05-15T06:16:48
29;wisely;jovem;UNIT;4;23074.39;6070.77;false;2026-05-15T02:47:21
30;physically besides nariz;saudável;BOX;5;25343.84;16066.23;false;2026-05-15T02:04:04
