id;sale_date;sale_number;status;gross_amount;discount_amount;net_amount;notes;deleted_at
1;2026-05-15T13:05:59;awkwardly or;INVOICED;24591.6;3824.34;29629.91;mockingly eventually;2026-05-15T07:43:08
2;2026-05-15T11:53:31;caderno molhado astride;CANCELED;2193.67;9655.31;30182.22;tigre optimistically;2026-05-15T01:03:25
3;2026-05-15T09:18:06;porta obediently;INVOICED;25636.96;12938.74;19773.35;given which supposing;2026-05-15T11:28:34
4;2026-05-15T19:45:20;extrovertido relaxado;CANCELED;3788.73;17422.87;26629.27;resistente;2026-05-15T03:13:37
5;2026-05-15T04:53:25;happily confiante;INVOICED;1093.09;30411.65;3428.5;that joshingly;2026-05-15T05:32:08
6;2026-05-15T01:20:46;than arrastar psst;CONFIRMED;10500.53;2715.31;8419.93;reclamar gosh;2026-05-15T07:14:57
7;2026-05-15T02:32:09;aha;INVOICED;1694.27;25942.49;15010.6;lest confiar medir;2026-05-15T02:14:57
8;2026-05-15T21:04:48;belo after;INVOICED;22793.93;3276.24;14804.07;likely;2026-05-15T16:43:32
9;2026-05-15T07:14:35;wearily obnoxiously thankfully;OPEN;28230.32;31181.15;17957.61;comparar;2026-05-15T17:38:13
10;2026-05-15T19:09:29;pish;INVOICED;12820.42;14601.92;6324.78;ack;2026-05-15T00:33:13
11;2026-05-15T11:27:14;until lest;INVOICED;9778.83;25381.93;1976.07;boohoo gaveta;2026-05-15T08:07:00
12;2026-05-15T17:01:30;loosely boohoo;INVOICED;8956.26;28200;2161.34;peixe until lâmpada;2026-05-15T21:35:19
13;2026-05-15T16:19:56;wherever observar pfft;INVOICED;16608.5;28974.02;22807.5;alegrar;2026-05-15T19:56:50
14;2026-05-15T10:14:43;carne;OPEN;4361.85;7824.16;3278.93;granizo;2026-05-15T14:07:47
15;2026-05-15T11:36:36;too;CANCELED;11201.98;1034.18;28389.84;nivelar who;2026-05-15T18:01:25
16;2026-05-15T02:33:38;likewise till lest;CANCELED;32467.24;24638.62;20532.91;teto;2026-05-15T00:52:17
17;2026-05-15T19:03:45;paciente;OPEN;28238.2;13414.95;31969.3;soltar madly;2026-05-15T21:08:15
18;2026-05-15T11:25:07;beside usually than;CANCELED;14380.73;27377.37;25797.05;whoa rudely;2026-05-15T16:23:32
19;2026-05-15T21:49:48;pontuar yippee;OPEN;32594.15;32386.48;30137.57;above unless upright;2026-05-15T13:04:04
20;2026-05-15T09:34:08;livro comunicar vizinho;INVOICED;23886.25;11248.96;29733.53;psst where;2026-05-15T13:05:44
21;2026-05-15T13:02:42;criar though tímido;CONFIRMED;25138.67;24107.54;29656.1;preocupado ugh;2026-05-15T14:26:26
22;2026-05-15T11:34:57;clicar livre ombro;CANCELED;26121.54;28140.9;26283.26;língua tossir;2026-05-15T21:01:10
23;2026-05-15T20:32:37;not;CONFIRMED;31593.91;3786.33;28593.74;livre;2026-05-15T00:52:54
24;2026-05-15T02:28:18;woot indeed;CANCELED;2592.23;25270.77;23554.13;nor fast largo;2026-05-15T00:23:05
25;2026-05-15T09:27:13;legislar morder;CANCELED;5832.03;10931.59;24785.81;whether decidido;2026-05-15T13:30:14
26;2026-05-15T14:51:47;reassuringly;CONFIRMED;1392.75;6802.01;7699.36;limpo oof beside;2026-05-15T07:01:26
27;2026-05-15T18:57:39;evenly arroz;INVOICED;1085.77;3018.86;19229.32;within;2026-05-15T19:16:44
28;2026-05-15T22:09:00;around as er;INVOICED;4735.36;16160.69;28329.18;yuck;2026-05-15T05:39:44
29;2026-05-15T05:32:46;as cobra throughout;CONFIRMED;28353.53;5055.6;16381.88;correctly musculoso;2026-05-14T22:53:56
30;2026-05-15T16:24:05;sheepishly ligar mês;CANCELED;6810.89;25203.69;32130.77;insatisfeito thankfully;2026-05-15T22:13:31
