id;quantity;unit_price;discount_amount;line_total;deleted_at
1;27136.12;502.4;14823.13;12096.33;2026-05-15T10:31:17
2;1850.73;10238.36;28101.32;2813.46;2026-05-15T02:11:39
3;18950.23;8516.36;12291.8;13297.4;2026-05-15T22:29:55
4;5508.57;19757.18;19594.6;3293.21;2026-05-15T10:16:13
5;6042.47;6649.79;8854.15;1069.2;2026-05-15T18:08:03
6;323.01;25068.37;25548.3;29315.91;2026-05-15T17:19:04
7;32137.32;28415.43;28986.02;2369.01;2026-05-15T07:59:52
8;1249.44;24040.54;4113.54;29008.27;2026-05-15T21:05:35
9;2013.43;20550.08;10098.13;16807.29;2026-05-15T17:03:42
10;32701.96;8298.99;8735.55;22916.72;2026-05-15T11:32:03
11;19878.78;30603.98;6868.68;25553.58;2026-05-14T23:29:00
12;15350.09;31506.75;31472.34;20836.21;2026-05-15T05:58:29
13;22260.93;28111.63;6486;20757.53;2026-05-15T02:10:31
14;18183.04;16243.33;32313.97;514.59;2026-05-15T16:24:23
15;20902.74;5920.07;32076.32;9223.81;2026-05-15T14:04:28
16;30079.61;17544.58;12081.32;30322.75;2026-05-15T07:27:07
17;3996.98;21968.75;27676.97;22523.19;2026-05-14T23:06:20
18;17581.07;22109.86;7698.7;3248.14;2026-05-15T10:57:39
19;8378.42;8194.45;5021.41;2105.09;2026-05-15T19:21:02
20;31219.92;19367.09;20388.84;10562.66;2026-05-15T13:36:17
21;29113.28;4356.85;9904.84;11005.27;2026-05-15T16:33:29
22;2879.25;7790.2;25667.55;22252.42;2026-05-15T18:54:28
23;979;1787.3;25847.43;8316.56;2026-05-15T05:22:09
24;11795.15;21377.34;23578.16;6627.12;2026-05-15T07:30:07
25;11586.18;24774.58;16197.05;26295.13;2026-05-15T14:12:41
26;14040.71;24403.47;24080.29;15870.31;2026-05-15T09:47:30
27;18479.51;18752.84;1873.12;21857.7;2026-05-15T06:19:58
28;6770.46;21699.38;6425.92;10934.59;2026-05-15T10:49:23
29;12650.47;27215.08;4359.04;8043.62;2026-05-15T16:39:13
30;20798.62;12757.22;26894.83;15254.01;2026-05-15T08:53:16
