id;movement_date;movement_type;quantity;unit_cost;reference_number;notes;deleted_at
1;2026-05-15T10:54:46;INBOUND;19511.16;1639.64;artístico whenever;yahoo gato yum;2026-05-15T22:04:31
2;2026-05-15T20:50:02;ADJUSTMENT;12580.84;11884.49;estádio if and;phew;2026-05-15T09:38:14
3;2026-05-15T09:37:23;OUTBOUND;28192.33;30547.96;vidro;empurrar;2026-05-15T09:31:55
4;2026-05-14T22:57:27;INBOUND;10837.61;20552.12;indeed;quadro tv;2026-05-15T13:29:47
5;2026-05-15T05:30:24;OUTBOUND;31048.96;23439.26;over;where categorizar;2026-05-15T11:36:25
6;2026-05-15T06:45:59;OUTBOUND;3234.07;1988.58;geez;before;2026-05-15T07:16:51
7;2026-05-15T06:05:50;OUTBOUND;29090.61;24435.28;fondly usar;outside why;2026-05-15T08:58:38
8;2026-05-15T03:08:43;ADJUSTMENT;21506.05;27008.14;estádio opaco metrô;rejeitar cheio;2026-05-15T19:09:38
9;2026-05-15T15:45:53;TRANSFER;2463.02;14096.85;openly germinar barato;pássaro yet brightly;2026-05-15T08:52:41
10;2026-05-15T15:46:05;TRANSFER;14281.62;19017.38;indeciso rosto;even whose científico;2026-05-15T14:54:21
11;2026-05-15T22:22:59;TRANSFER;32452.52;23045.97;down duh lest;pish finally;2026-05-15T18:59:19
12;2026-05-15T06:56:19;TRANSFER;30837.26;26922.23;shrilly;destrutivo;2026-05-15T11:39:32
13;2026-05-15T16:45:04;ADJUSTMENT;825.25;9049.82;projetar;aparecer brilhante;2026-05-15T17:37:03
14;2026-05-15T06:52:00;OUTBOUND;22432.75;2210.46;quickly;off;2026-05-15T11:10:42
15;2026-05-15T12:23:52;INBOUND;27358.61;11623.33;even geez líquido;pesado although;2026-05-15T11:05:17
16;2026-05-15T05:00:43;OUTBOUND;13020.72;27157.57;lest beber;but unless;2026-05-15T16:48:18
17;2026-05-15T04:23:46;INBOUND;25321.7;15833.46;once jaggedly failing;casa hmph;2026-05-15T13:47:23
18;2026-05-15T18:27:25;TRANSFER;31952.65;26096.08;nervously oh;ouch across;2026-05-15T14:43:01
19;2026-05-15T12:57:38;TRANSFER;30223.81;22408.19;criativo hmph dormir;paciente reivindicar vice;2026-05-15T01:35:38
20;2026-05-15T04:48:40;INBOUND;18875.78;8083.03;reunião successfully;aw;2026-05-15T21:49:38
21;2026-05-15T03:43:21;ADJUSTMENT;10752.03;1993.18;supposing;whereas;2026-05-15T22:11:18
22;2026-05-15T21:49:13;INBOUND;27883.78;69.54;folha the;restfully nadar;2026-05-15T08:05:29
23;2026-05-15T05:36:55;ADJUSTMENT;16990.4;6298.65;as república;processar desinstalar yum;2026-05-15T16:25:37
24;2026-05-15T04:27:59;INBOUND;204.2;22749.82;out jubilantly;naturally kookily;2026-05-15T01:43:20
25;2026-05-15T08:09:19;TRANSFER;30515.48;21089.91;pular that nervoso;inasmuch;2026-05-15T04:22:06
26;2026-05-15T14:08:27;ADJUSTMENT;10767.97;24123.7;suar a;abaft;2026-05-14T23:29:18
27;2026-05-15T02:17:01;ADJUSTMENT;3897.78;22248.91;before medroso;uber past;2026-05-15T18:50:02
28;2026-05-15T19:32:42;INBOUND;14468.42;13388.71;frantically;rede sofrer;2026-05-15T00:08:38
29;2026-05-15T01:19:46;TRANSFER;21317.8;17142.87;meanwhile;nadar since behind;2026-05-15T12:51:53
30;2026-05-15T14:27:06;OUTBOUND;15100.69;11093.86;qua nuvem at;tratar;2026-05-15T12:45:33
