id;name;code;active;deleted_at
1;for;amar even;true;2026-05-15T20:14:08
2;yuck anunciar refogar;pfft;false;2026-05-15T09:24:46
3;mensagem about gah;dinheiro considering ha;false;2026-05-15T14:09:38
4;lazily introvertido;quadrado;true;2026-05-15T02:40:52
5;ensinar jovially whoa;mensagem hence noisily;false;2026-05-15T19:33:27
6;amid;escada rebater but;false;2026-05-15T06:49:41
7;dreamily moeda economia;supposing positively lençol;true;2026-05-15T13:31:19
8;phooey absent;wherever entristecer;false;2026-05-15T14:22:30
9;geez coração;meh quirkily thoughtfully;false;2026-05-15T01:25:44
10;editar astride;áspero olho;false;2026-05-15T03:22:57
11;carteira youthfully because;aw ah vento;true;2026-05-15T08:46:51
12;reluctantly;how fechado neatly;true;2026-05-15T14:25:44
13;after;than or before;false;2026-05-15T07:19:32
14;lively moto;largo ah diagnosticar;true;2026-05-15T16:24:43
15;inimigo;when barring nor;false;2026-05-15T03:06:11
16;carefully athwart because;while;false;2026-05-14T22:52:35
17;sternly;lento;false;2026-05-15T03:16:05
18;what meanwhile;apagar mockingly rosto;true;2026-05-15T21:38:37
19;lamber;hourly macaco;true;2026-05-15T18:26:29
20;meaningfully;século brr;false;2026-05-15T10:35:07
21;amongst;aceitar into;false;2026-05-15T13:36:56
22;estante eek;varrer novo;true;2026-05-15T18:22:42
23;ack bah vestir;finally guardar claro;true;2026-05-15T04:15:34
24;hotel after giz;psst oof;true;2026-05-15T04:53:06
25;educado;relaxado;false;2026-05-15T20:45:20
26;whereas;ah generoso circa;false;2026-05-15T20:22:41
27;dinheiro;transparente sincero;false;2026-05-15T07:27:38
28;lâmpada;responsável since reluctantly;false;2026-05-15T11:22:35
29;hotel trator provar;drat link provided;false;2026-05-15T20:50:02
30;under;competir regarding;true;2026-05-15T08:25:24
